burst_id,burst_start_s,burst_end_s,burst_duration_ms,pre_burst_p99_ms,peak_p99_ms,amplification_ratio,recovery_time_ms
1,1.999,2.049,49.7,2.43,1.92,0.79,50.9
2,4.05,4.099,48.8,1.99,1.85,0.93,0.8
3,6.1,6.15,49.9,2.01,1.99,0.99,50.3
4,8.15,8.2,49.4,1.91,1.85,0.97,0.4
5,10.2,10.25,49.4,1.85,1.85,1.0,50.2
6,12.251,12.3,49.2,1.85,2.18,1.18,99.9
7,14.301,14.35,49.6,1.93,1.85,0.96,49.8
8,14.35,14.351,1.6,1.93,1.85,0.96,48.6
9,16.351,16.4,48.9,1.87,1.77,0.95,99.9
10,18.401,18.45,49.3,1.76,1.85,1.05,49.9
11,20.451,20.5,49.6,1.78,1.81,1.01,99.5
12,20.5,20.501,1.3,1.79,1.85,1.04,98.5
13,22.502,22.551,48.9,1.77,1.85,1.04,49.4
14,24.552,24.601,48.4,1.81,1.81,1.0,99.3
15,26.601,26.651,49.5,1.86,1.85,1.0,49.1
16,28.652,28.701,48.7,1.9,1.89,1.0,99.0
17,30.702,30.751,49.5,2.04,1.85,0.91,248.9
18,32.752,32.801,49.5,1.87,1.85,0.99,98.6
19,34.802,34.852,49.8,1.81,1.85,1.02,48.2
20,36.852,36.902,49.9,1.84,1.77,0.97,98.3
21,38.902,38.952,49.8,1.87,1.85,0.99,48.0
22,40.953,41.002,48.9,1.98,1.81,0.92,98.1
23,43.003,43.052,49.4,1.78,1.85,1.04,47.7
24,45.053,45.102,49.5,1.79,1.88,1.05,97.8
25,47.103,47.153,49.9,1.85,1.85,1.0,47.4
26,49.153,49.202,49.3,1.87,1.79,0.96,97.5
27,51.203,51.253,49.9,1.83,1.85,1.01,47.4
28,53.253,53.303,49.8,1.87,2.09,1.12,97.3
29,55.304,55.353,49.1,1.87,1.85,0.99,47.3
30,57.354,57.403,49.3,1.88,1.92,1.02,97.2
31,59.404,59.453,49.3,1.79,1.85,1.04,N/A

# Summary Statistics
# total_bursts: 31
# total_requests: 49260
# burst_requests: 4544
# base_requests: 44716
# baseline_p50_ms: 1.35
# baseline_p99_ms: 1.85
# burst_p99_ms: 2.0
# global_amplification: 1.08
# mean_recovery_time_ms: 73.8
# median_recovery_time_ms: 50.6
# max_recovery_time_ms: 248.9
# mean_amplification: 1.0
# bursts_with_recovery: 30
