experiment,signal,spearman_rho,p_value,significant,n_requests
e1-baseline,density,-0.3454,0.0,True,76731
e1-baseline,local_cv,-0.057,0.0,True,76731
e1-baseline,local_p99_ratio,0.3836,0.0,True,76731
e1-baseline,excess_latency,0.8735,0.0,True,76731
e1-baseline,tail_fraction,0.1136,0.0,True,76731
e1-baseline,burst_intensity,0.106,0.0,True,76731
e3a-cfs-tight,density,0.064,0.0,True,22035
e3a-cfs-tight,local_cv,-0.0343,0.0,True,22035
e3a-cfs-tight,local_p99_ratio,0.3684,0.0,True,22035
e3a-cfs-tight,excess_latency,0.8733,0.0,True,22035
e3a-cfs-tight,tail_fraction,0.1158,0.0,True,22035
e3a-cfs-tight,burst_intensity,0.2739,0.0,True,22035
e4-noisy-neighbor,density,-0.1494,0.0,True,50094
e4-noisy-neighbor,local_cv,-0.1149,0.0,True,50094
e4-noisy-neighbor,local_p99_ratio,0.4525,0.0,True,50094
e4-noisy-neighbor,excess_latency,0.8735,0.0,True,50094
e4-noisy-neighbor,tail_fraction,0.1631,0.0,True,50094
e4-noisy-neighbor,burst_intensity,0.3237,0.0,True,50094
e7-full-stress,density,0.0601,0.0,True,13982
e7-full-stress,local_cv,-0.0476,0.0,True,13982
e7-full-stress,local_p99_ratio,0.5199,0.0,True,13982
e7-full-stress,excess_latency,0.8624,0.0,True,13982
e7-full-stress,tail_fraction,0.1943,0.0,True,13982
e7-full-stress,burst_intensity,0.3161,0.0,True,13982
e13-cpu-pinning,density,-0.3233,0.0,True,81404
e13-cpu-pinning,local_cv,-0.0505,0.0,True,81404
e13-cpu-pinning,local_p99_ratio,0.3374,0.0,True,81404
e13-cpu-pinning,excess_latency,0.8715,0.0,True,81404
e13-cpu-pinning,tail_fraction,0.1775,0.0,True,81404
e13-cpu-pinning,burst_intensity,0.0729,0.0,True,81404
e15-full-isolation,density,0.0169,0.016509,True,20019
e15-full-isolation,local_cv,-0.117,0.0,True,20019
e15-full-isolation,local_p99_ratio,0.6789,0.0,True,20019
e15-full-isolation,excess_latency,0.8742,0.0,True,20019
e15-full-isolation,tail_fraction,0.3474,0.0,True,20019
e15-full-isolation,burst_intensity,0.469,0.0,True,20019
