experiment,signal,n_case,n_control,case_mean,control_mean,case_control_ratio,U_stat,z_score,p_value,cliffs_delta,effect_size,significant
e1-baseline,wakeup_delay_p99,12,240,19.751,15.835,1.25,942.0,-2.021,0.043281,0.346,medium,True
e1-baseline,softirq_time,12,240,304124.892,400121.342,0.76,776.0,-2.695,0.007046,-0.461,medium,True
e1-baseline,throttled_usec,12,240,15.247,0.476,32.05,1190.0,-1.015,0.31032,0.398,medium,False
e1-baseline,tcp_retransmit,12,240,0.001,0.001,1.0,0.0,-5.844,0.0,0.0,negligible,True
e1-baseline,latency_variance,12,240,0.321,0.266,1.2,772.0,-2.711,0.00671,0.464,medium,True
e3a-cfs-tight,wakeup_delay_p99,12,229,59.242,34.807,1.7,217.0,-4.915,1e-06,0.842,large,True
e3a-cfs-tight,softirq_time,12,229,209897.629,165056.997,1.27,1017.0,-1.517,0.129393,0.26,small,False
e3a-cfs-tight,throttled_usec,12,229,28.239,1.985,14.22,1348.0,-0.11,0.912056,0.448,medium,False
e3a-cfs-tight,tcp_retransmit,12,229,0.009,0.009,1.07,229.0,-4.864,1e-06,0.083,negligible,True
e3a-cfs-tight,latency_variance,12,229,0.412,0.23,1.79,195.0,-5.008,1e-06,0.858,large,True
e3b-cfs-moderate,wakeup_delay_p99,12,239,33.998,24.671,1.38,428.0,-4.099,4.1e-05,0.702,large,True
e3b-cfs-moderate,softirq_time,12,239,347743.265,315325.404,1.1,1067.0,-1.495,0.134802,0.256,small,False
e3b-cfs-moderate,throttled_usec,12,239,18.791,0.529,35.51,951.0,-1.968,0.049056,0.319,small,True
e3b-cfs-moderate,tcp_retransmit,12,239,0.005,0.005,1.0,0.0,-5.843,0.0,0.0,negligible,True
e3b-cfs-moderate,latency_variance,12,239,0.341,0.23,1.48,276.0,-4.719,2e-06,0.808,large,True
e4-noisy-neighbor,wakeup_delay_p99,12,240,39.199,30.852,1.27,812.0,-2.549,0.010817,0.436,medium,True
e4-noisy-neighbor,softirq_time,12,240,345624.501,402694.671,0.86,1060.0,-1.542,0.123045,-0.264,small,False
e4-noisy-neighbor,throttled_usec,12,240,9.708,0.96,10.11,942.0,-2.021,0.043281,0.29,small,True
e4-noisy-neighbor,tcp_retransmit,12,240,0.002,0.002,1.0,0.0,-5.844,0.0,0.0,negligible,True
e4-noisy-neighbor,latency_variance,12,240,0.341,0.255,1.34,820.0,-2.516,0.011867,0.431,medium,True
e7-full-stress,wakeup_delay_p99,10,196,74.473,46.037,1.62,451.0,-2.877,0.004015,0.54,large,True
e7-full-stress,softirq_time,10,196,249805.707,206741.055,1.21,721.0,-1.409,0.158964,0.264,small,False
e7-full-stress,throttled_usec,10,196,26.974,0.945,28.55,778.0,-1.099,0.271955,0.376,medium,False
e7-full-stress,tcp_retransmit,10,196,0.011,0.011,1.0,0.0,-5.33,0.0,0.0,negligible,True
e7-full-stress,latency_variance,10,196,0.325,0.196,1.66,513.0,-2.54,0.011093,0.477,large,True
e10-throttle-contention,wakeup_delay_p99,12,224,79.226,49.106,1.61,505.0,-3.641,0.000271,0.624,large,True
e10-throttle-contention,softirq_time,12,224,250670.965,207565.208,1.21,1103.0,-1.046,0.295575,0.179,small,False
e10-throttle-contention,throttled_usec,12,224,29.562,0.917,32.23,889.0,-1.975,0.048296,0.292,small,True
e10-throttle-contention,tcp_retransmit,12,224,0.012,0.01,1.19,224.0,-4.861,1e-06,0.083,negligible,True
e10-throttle-contention,latency_variance,12,224,0.363,0.229,1.59,451.0,-3.876,0.000106,0.664,large,True
e13-cpu-pinning,wakeup_delay_p99,12,240,12.453,8.978,1.39,485.0,-3.876,0.000106,0.663,large,True
e13-cpu-pinning,softirq_time,12,240,352983.757,396983.988,0.89,952.0,-1.98,0.047658,-0.339,medium,True
e13-cpu-pinning,throttled_usec,12,240,20.073,0.322,62.35,1196.0,-0.99,0.322075,0.399,medium,False
e13-cpu-pinning,tcp_retransmit,12,240,0.001,0.001,1.0,0.0,-5.844,0.0,0.0,negligible,True
e13-cpu-pinning,latency_variance,12,240,0.344,0.259,1.33,629.0,-3.291,0.000998,0.563,large,True
e15-full-isolation,wakeup_delay_p99,10,193,20.557,8.547,2.41,359.0,-3.346,0.000821,0.628,large,True
e15-full-isolation,softirq_time,10,193,57458.818,57085.254,1.01,926.0,-0.215,0.829527,0.04,negligible,False
e15-full-isolation,throttled_usec,10,193,73.305,1.105,66.34,965.0,0.0,1.0,0.479,large,False
e15-full-isolation,tcp_retransmit,10,193,0.002,0.001,1.53,579.0,-2.131,0.033089,0.3,small,True
e15-full-isolation,latency_variance,10,193,0.476,0.182,2.62,243.0,-3.986,6.7e-05,0.748,large,True
