experiment,window_id,window_start_s,request_count,throughput,app_p50_ms,app_p99_ms,app_mean_ms,app_std_ms,spike_class
e1-baseline,0,0.0,1,10.0,95.46,95.46,95.46,0,calm
e1-baseline,18,1.8,1,10.0,89.8,89.8,89.8,0,calm
e1-baseline,26,2.6,1,10.0,90.73,90.73,90.73,0,calm
e1-baseline,34,3.4,2,20.0,80.77,81.59,80.77,0.83,calm
e1-baseline,49,4.9,1,10.0,77.26,77.26,77.26,0,calm
e1-baseline,56,5.6,1,10.0,59.85,59.85,59.85,0,calm
e1-baseline,101,10.1,1,10.0,74.51,74.51,74.51,0,calm
e1-baseline,134,13.4,1,10.0,47.48,47.48,47.48,0,calm
e1-baseline,169,16.9,1,10.0,69.51,69.51,69.51,0,calm
e1-baseline,185,18.5,1,10.0,65.97,65.97,65.97,0,calm
e1-baseline,197,19.7,1,10.0,35.9,35.9,35.9,0,calm
e1-baseline,203,20.3,1,10.0,75.26,75.26,75.26,0,calm
e1-baseline,232,23.2,1,10.0,56.25,56.25,56.25,0,calm
e1-baseline,233,23.3,1,10.0,68.7,68.7,68.7,0,calm
e1-baseline,245,24.5,1,10.0,54.93,54.93,54.93,0,calm
e1-baseline,248,24.8,1,10.0,44.05,44.05,44.05,0,calm
e1-baseline,249,24.9,1,10.0,42.24,42.24,42.24,0,calm
e1-baseline,254,25.4,1,10.0,73.46,73.46,73.46,0,calm
e1-baseline,263,26.3,1,10.0,25.41,25.41,25.41,0,calm
e1-baseline,270,27.0,1,10.0,69.39,69.39,69.39,0,calm
e1-baseline,276,27.6,1,10.0,87.25,87.25,87.25,0,calm
e1-baseline,281,28.1,1,10.0,136.88,136.88,136.88,0,calm
e1-baseline,297,29.7,1,10.0,69.55,69.55,69.55,0,calm
e1-baseline,310,31.0,1,10.0,54.98,54.98,54.98,0,calm
e1-baseline,315,31.5,1,10.0,52.26,52.26,52.26,0,calm
e1-baseline,326,32.6,1,10.0,69.7,69.7,69.7,0,calm
e1-baseline,333,33.3,1,10.0,33.16,33.16,33.16,0,calm
e1-baseline,357,35.7,1,10.0,52.5,52.5,52.5,0,calm
e1-baseline,371,37.1,1,10.0,65.12,65.12,65.12,0,calm
e1-baseline,374,37.4,1,10.0,42.72,42.72,42.72,0,calm
e1-baseline,383,38.3,1,10.0,36.07,36.07,36.07,0,calm
e1-baseline,389,38.9,1,10.0,89.07,89.07,89.07,0,calm
e1-baseline,391,39.1,1,10.0,80.06,80.06,80.06,0,calm
e1-baseline,402,40.2,1,10.0,38.08,38.08,38.08,0,calm
e1-baseline,410,41.0,1,10.0,91.26,91.26,91.26,0,calm
e1-baseline,436,43.6,1,10.0,46.94,46.94,46.94,0,calm
e1-baseline,485,48.5,1,10.0,72.53,72.53,72.53,0,calm
e1-baseline,510,51.0,2,20.0,33.4,44.3,33.4,10.9,calm
e1-baseline,523,52.3,1,10.0,69.04,69.04,69.04,0,calm
e1-baseline,531,53.1,1,10.0,91.48,91.48,91.48,0,calm
e1-baseline,545,54.5,1,10.0,72.78,72.78,72.78,0,calm
e1-baseline,591,59.1,1,10.0,62.65,62.65,62.65,0,calm
e1-baseline,616,61.6,1,10.0,80.22,80.22,80.22,0,calm
e1-baseline,633,63.3,1,10.0,32.19,32.19,32.19,0,calm
e1-baseline,636,63.6,1,10.0,28.99,28.99,28.99,0,calm
e1-baseline,638,63.8,1,10.0,44.96,44.96,44.96,0,calm
e1-baseline,649,64.9,1,10.0,55.54,55.54,55.54,0,calm
e1-baseline,680,68.0,1,10.0,72.18,72.18,72.18,0,calm
e1-baseline,699,69.9,2,20.0,94.05,114.41,94.05,20.36,calm
e1-baseline,710,71.0,1,10.0,75.83,75.83,75.83,0,calm
e1-baseline,715,71.5,1,10.0,64.08,64.08,64.08,0,calm
e1-baseline,719,71.9,1,10.0,92.48,92.48,92.48,0,calm
e1-baseline,738,73.8,1,10.0,94.47,94.47,94.47,0,calm
e1-baseline,740,74.0,1,10.0,81.15,81.15,81.15,0,calm
e1-baseline,747,74.7,1,10.0,84.95,84.95,84.95,0,calm
e1-baseline,760,76.0,1,10.0,60.0,60.0,60.0,0,calm
e1-baseline,778,77.8,1,10.0,65.4,65.4,65.4,0,calm
e1-baseline,831,83.1,1,10.0,103.71,103.71,103.71,0,calm
e1-baseline,882,88.2,1,10.0,58.5,58.5,58.5,0,calm
e1-baseline,894,89.4,1,10.0,86.04,86.04,86.04,0,calm
e1-baseline,909,90.9,1,10.0,103.32,103.32,103.32,0,calm
e1-baseline,919,91.9,1,10.0,60.48,60.48,60.48,0,calm
e1-baseline,936,93.6,1,10.0,56.1,56.1,56.1,0,calm
e1-baseline,940,94.0,1,10.0,75.02,75.02,75.02,0,calm
e1-baseline,952,95.2,1,10.0,48.84,48.84,48.84,0,calm
e1-baseline,958,95.8,1,10.0,63.55,63.55,63.55,0,calm
e1-baseline,968,96.8,1,10.0,49.69,49.69,49.69,0,calm
e1-baseline,972,97.2,1,10.0,100.39,100.39,100.39,0,calm
e1-baseline,989,98.9,1,10.0,51.49,51.49,51.49,0,calm
e1-baseline,996,99.6,1,10.0,67.82,67.82,67.82,0,calm
e1-baseline,1020,102.0,1,10.0,62.88,62.88,62.88,0,calm
e1-baseline,1021,102.1,1,10.0,48.47,48.47,48.47,0,calm
e1-baseline,1040,104.0,1,10.0,99.9,99.9,99.9,0,calm
e1-baseline,1068,106.8,1,10.0,62.27,62.27,62.27,0,calm
e1-baseline,1101,110.1,1,10.0,40.88,40.88,40.88,0,calm
e1-baseline,1102,110.2,1,10.0,46.37,46.37,46.37,0,calm
e1-baseline,1116,111.6,1,10.0,70.96,70.96,70.96,0,calm
e1-baseline,1119,111.9,1,10.0,56.11,56.11,56.11,0,calm
e1-baseline,1123,112.3,1,10.0,40.2,40.2,40.2,0,calm
e1-baseline,1131,113.1,2,20.0,64.29,72.19,64.29,7.9,calm
e1-baseline,1142,114.2,1,10.0,52.19,52.19,52.19,0,calm
e1-baseline,1151,115.1,1,10.0,83.19,83.19,83.19,0,calm
e1-baseline,1179,117.9,1,10.0,72.01,72.01,72.01,0,calm
e1-baseline,17997,1799.7,8,80.0,37.25,39.81,36.96,2.49,calm
e1-baseline,17998,1799.8,51,510.0,80.48,109.47,77.91,20.18,calm
e1-baseline,17999,1799.9,54,540.0,68.07,109.52,70.21,16.48,calm
e1-baseline,18000,1800.0,63,630.0,66.79,124.77,71.05,20.53,calm
e1-baseline,18001,1800.1,60,600.0,85.06,119.98,83.87,16.33,calm
e1-baseline,18002,1800.2,22,220.0,89.2,113.88,87.28,13.24,calm
e1-baseline,18003,1800.3,63,630.0,77.64,150.81,89.76,38.45,calm
e1-baseline,18004,1800.4,82,820.0,77.64,109.53,74.24,18.39,calm
e1-baseline,18005,1800.5,53,530.0,53.78,87.45,57.36,16.76,calm
e1-baseline,18006,1800.6,44,440.0,88.01,123.55,86.81,16.01,calm
