experiment,run,p50_ms,p90_ms,p99_ms,p999_ms,avg_ms,rps,count,ok,errors,error_pct,file
e0-no-instrumentation,1,60.254,87.826,117.92,192.749,62.332,779.6,93544,93496,48,0.05,rate-2000-run1.json
e0-no-instrumentation,2,59.893,88.49,120.611,202.706,62.133,782.3,93873,93846,27,0.03,rate-2000-run2.json
e0-no-instrumentation,3,58.842,85.417,111.712,202.528,60.615,802.1,96253,96204,49,0.05,rate-2000-run3.json
e1-baseline,1,65.864,99.413,133.958,250.298,68.62,709.2,85108,85059,49,0.06,rate-2000-run1.json
e1-baseline,2,61.091,89.512,120.814,200.479,63.241,768.8,92254,92204,50,0.05,rate-2000-run2.json
e1-baseline,3,59.848,86.818,115.916,203.53,61.736,787.2,94473,94424,49,0.05,rate-2000-run3.json
e10-throttle-contention,1,274.51,403.642,536.052,804.915,278.427,178.1,21367,21317,50,0.23,rate-2000-run1.json
e10-throttle-contention,2,253.159,387.487,528.075,855.112,260.453,190.3,22840,22791,49,0.21,rate-2000-run2.json
e10-throttle-contention,3,308.634,489.89,680.823,1029.518,325.449,152.2,18268,18219,49,0.27,rate-2000-run3.json
e11-network-policy,1,100.387,144.326,191.141,294.685,103.695,467.3,56080,56036,44,0.08,rate-2000-run1.json
e11-network-policy,2,101.011,144.498,188.855,296.738,103.893,466.8,56013,55963,50,0.09,rate-2000-run2.json
e11-network-policy,3,31.972,48.859,81.961,152.772,34.2,1426.2,171146,171097,49,0.03,rate-2000-run3.json
e12-hpa,1,88.973,126.665,169.644,299.169,86.942,559.9,67193,67143,50,0.07,rate-2000-run1.json
e12-hpa,2,90.738,129.619,165.051,250.796,88.161,553.1,66366,66318,48,0.07,rate-2000-run2.json
e12-hpa,3,90.794,129.39,169.161,221.07,88.249,552.4,66291,66241,50,0.08,rate-2000-run3.json
e13-cpu-pinning,1,62.507,90.764,121.762,214.445,64.624,752.3,90271,90221,50,0.06,rate-2000-run1.json
e13-cpu-pinning,2,61.266,88.217,114.953,212.413,63.249,768.5,92216,92168,48,0.05,rate-2000-run2.json
e13-cpu-pinning,3,62.251,90.648,120.088,248.371,64.389,754.8,90572,90523,49,0.05,rate-2000-run3.json
e14-pinning-stress-crossnode,1,226.278,424.962,658.691,917.216,253.312,194.5,23342,23292,50,0.21,rate-2000-run1.json
e14-pinning-stress-crossnode,2,259.477,466.53,745.58,1152.315,286.958,171.8,20611,20561,50,0.24,rate-2000-run2.json
e14-pinning-stress-crossnode,3,261.615,479.223,754.046,1058.102,291.296,169.1,20289,20239,50,0.25,rate-2000-run3.json
e15-full-isolation,1,245.548,424.353,645.077,1102.178,264.99,185.6,22267,22217,50,0.22,rate-2000-run1.json
e15-full-isolation,2,277.697,520.702,785.462,1115.755,309.727,159.3,19110,19060,50,0.26,rate-2000-run2.json
e15-full-isolation,3,250.99,462.604,708.631,1049.573,277.778,177.4,21279,21229,50,0.23,rate-2000-run3.json
e2-cpu-contention,1,465.336,695.83,990.795,1797.455,475.561,104.8,12580,12530,50,0.4,rate-2000-run1.json
e2-cpu-contention,2,493.624,718.203,1029.469,1404.523,502.95,99.1,11895,11845,50,0.42,rate-2000-run2.json
e2-cpu-contention,3,521.104,813.842,1106.464,1710.576,558.21,89.3,10721,10671,50,0.47,rate-2000-run3.json
e2-cross-node,1,64.336,96.999,135.719,242.615,67.357,722.3,86679,86629,50,0.06,rate-2000-run1.json
e2-cross-node,2,59.89,86.636,114.283,192.314,61.769,786.6,94397,94366,31,0.03,rate-2000-run2.json
e2-cross-node,3,61.113,88.866,117.433,181.294,63.175,769.9,92388,92338,50,0.05,rate-2000-run3.json
e3-memory-pressure,1,60.445,88.266,117.872,211.22,62.576,776.3,93149,93099,50,0.05,rate-2000-run1.json
e3-memory-pressure,2,57.938,84.841,112.923,184.979,59.919,811.5,97376,97326,50,0.05,rate-2000-run2.json
e3-memory-pressure,3,52.748,78.771,108.565,187.924,55.022,884.6,106154,106104,50,0.05,rate-2000-run3.json
e3a-cfs-tight,1,226.692,365.772,490.958,696.936,242.927,204.5,24536,24486,50,0.2,rate-2000-run1.json
e3a-cfs-tight,2,228.5,369.192,491.323,803.129,245.945,202.0,24236,24186,50,0.21,rate-2000-run2.json
e3a-cfs-tight,3,261.004,390.478,524.904,1009.148,262.486,189.4,22722,22672,50,0.22,rate-2000-run3.json
e3b-cfs-moderate,1,102.792,172.938,203.139,320.47,110.601,444.9,53391,53341,50,0.09,rate-2000-run1.json
e3b-cfs-moderate,2,99.063,162.964,197.663,274.34,103.657,474.7,56957,56907,50,0.09,rate-2000-run2.json
e3b-cfs-moderate,3,112.552,195.804,277.224,412.76,126.788,388.3,46595,46545,50,0.11,rate-2000-run3.json
e4-noisy-neighbor,1,100.48,155.611,212.373,344.242,105.195,464.2,55695,55645,50,0.09,rate-2000-run1.json
e4-noisy-neighbor,2,103.934,162.698,225.123,377.046,108.926,449.1,53887,53838,49,0.09,rate-2000-run2.json
e4-noisy-neighbor,3,100.466,154.509,211.833,356.797,104.795,466.3,55952,55926,26,0.05,rate-2000-run3.json
e5-throttle-crossnode,1,401.886,629.472,845.48,1175.716,423.205,117.5,14103,14053,50,0.35,rate-2000-run1.json
e5-throttle-crossnode,2,388.551,591.802,798.252,1300.515,398.713,124.7,14963,14913,50,0.33,rate-2000-run2.json
e5-throttle-crossnode,3,355.613,539.173,711.131,1185.127,369.5,134.6,16147,16097,50,0.31,rate-2000-run3.json
e6-contention-crossnode,1,247.405,440.513,681.605,1128.759,271.628,181.6,21790,21740,50,0.23,rate-2000-run1.json
e6-contention-crossnode,2,226.432,403.432,622.88,1042.81,249.079,197.9,23743,23693,50,0.21,rate-2000-run2.json
e6-contention-crossnode,3,235.243,411.872,733.018,1041.068,257.486,191.4,22964,22914,50,0.22,rate-2000-run3.json
e7-full-stress,1,366.571,553.231,794.59,1294.188,380.559,130.2,15628,15578,50,0.32,rate-2000-run1.json
e7-full-stress,2,341.836,552.579,835.304,1410.966,362.854,136.5,16382,16332,50,0.31,rate-2000-run2.json
e7-full-stress,3,360.353,549.647,828.273,1217.755,376.038,131.9,15821,15771,50,0.32,rate-2000-run3.json
e8-hostnetwork,1,61.933,89.552,119.223,217.649,63.957,759.2,91102,91053,49,0.05,rate-2000-run1.json
e8-hostnetwork,2,62.03,89.788,117.675,170.315,63.98,758.9,91063,91018,45,0.05,rate-2000-run2.json
e8-hostnetwork,3,63.405,92.805,125.709,191.957,65.634,740.4,88839,88789,50,0.06,rate-2000-run3.json
e8-resource-limits,1,145.007,210.747,279.756,400.258,147.933,332.4,39884,39838,46,0.12,rate-2000-run1.json
e8-resource-limits,2,148.591,214.385,290.285,421.559,152.227,323.3,38793,38743,50,0.13,rate-2000-run2.json
e8-resource-limits,3,146.606,214.13,288.332,395.035,150.343,327.1,39239,39189,50,0.13,rate-2000-run3.json
e9-hostnet-stress-crossnode,1,286.064,522.32,844.953,1182.96,315.487,156.2,18747,18697,50,0.27,rate-2000-run1.json
e9-hostnet-stress-crossnode,2,226.269,403.245,651.593,979.898,249.293,197.4,23685,23635,50,0.21,rate-2000-run2.json
e9-hostnet-stress-crossnode,3,229.503,423.178,629.967,1221.304,256.216,192.4,23090,23040,50,0.22,rate-2000-run3.json
